361.249,201.888,58.1231
361.255,201.936,58.1236
361.25,202.088,58.1285
361.247,202.537,58.1211
362.033,200.833,58.1175
362.091,201.561,58.1185
362.144,201.619,58.1144
362.196,201.7,58.1185
362.247,201.727,58.1172
362.283,200.827,58.117
362.331,201.104,58.1198
362.383,200.835,58.1206
362.433,200.816,58.1167
362.492,201.58,58.1203
362.543,201.596,58.1147
362.589,201.532,58.1234
362.632,200.835,58.1211
362.681,201.097,58.1172
362.74,201.534,58.1149
362.793,201.595,58.1149
362.839,201.548,58.1216
