361.214,201.936,58.1249
361.22,202.034,58.1242
361.22,202.088,58.1306
361.229,202.137,58.1183
361.216,202.185,58.1262
361.201,202.337,58.1216
361.2,202.386,58.1283
361.223,202.488,58.1198
361.194,202.537,58.1498
361.222,202.586,58.1229
361.218,202.635,58.1224
362.098,200.936,58.1142
362.145,201.315,58.1147
362.198,200.934,58.1142
362.247,200.936,58.1116
362.297,200.937,58.1144
362.347,200.936,58.1147
362.397,200.912,58.1152
362.447,200.916,58.1106
362.497,200.926,58.1147
362.547,200.928,58.1155
362.597,200.931,58.1175
362.646,201.086,58.1157
362.695,201.36,58.1129
362.747,200.926,58.1119
362.797,200.923,58.1129
362.86,201.853,58.1137
362.897,200.916,58.1137
